P_SUID,PARTY,CHNG_A,CHNG_B,CHNG_C,DIVRELPOP,DIVRACPOP,POORASSIST,CLIM1A,SCIMPACT,RELIMPACT,RACECMB,INC_SDT1,EDUCREC,EMPLSIT,USGEN,CURREL
10021960,3,3,1,1,3,3,3,2,2,2,1,2,2,5,3,10010
10021980,2,3,1,1,1,1,1,1,2,3,1,7,3,1,3,100000
10022200,2,3,1,1,1,1,1,1,2,3,1,3,4,5,3,80000
10022210,2,1,1,1,1,1,1,1,1,3,1,8,2,5,3,10010
10022220,3,3,1,1,1,1,1,1,2,2,1,8,4,5,3,10010
10022290,1,2,2,2,2,2,1,1,1,2,1,4,2,1,3,10010
10022340,1,1,2,1,1,1,1,1,3,3,1,1,2,1,3,100000
10022550,2,3,1,1,1,1,3,1,2,1,1,8,4,1,2,10010
10022610,1,2,1,1,3,3,2,3,3,3,1,8,2,1,3,100000
10022640,3,2,3,2,1,1,2,2,3,3,1,4,3,2,2,100000
10022730,2,3,1,3,1,1,3,77,2,2,1,5,3,1,1,10010
10022740,4,2,1,1,1,1,2,2,2,3,4,8,3,3,3,10010
10022770,2,1,1,3,1,1,3,77,2,1,3,3,3,1,2,80000
10022820,3,3,1,3,1,1,1,2,3,3,2,5,4,1,3,10010
10022850,1,2,1,2,3,3,1,1,2,2,4,6,1,1,1,10010
10022890,3,3,1,1,1,1,1,1,2,3,1,2,2,5,3,100000
10022920,3,3,3,3,1,1,3,1,3,2,1,1,3,5,1,10010
10022970,2,2,1,1,2,1,3,77,2,1,1,5,4,1,3,10010
10023110,4,3,1,3,1,1,1,77,2,1,1,1,1,1,3,90010
10023170,3,2,1,2,2,1,2,2,2,2,1,8,4,1,3,10010
10023300,1,2,1,2,3,3,2,2,3,2,1,4,2,5,3,10010
10023320,1,2,2,2,2,3,3,3,3,2,1,4,2,5,3,10010
10023360,1,2,3,2,2,2,3,2,3,2,1,3,1,5,3,10010
10023430,3,1,1,1,1,1,3,1,2,1,1,1,4,4,3,100000
10023460,2,1,1,1,1,1,1,1,2,1,1,4,4,5,3,100000
10023550,1,2,1,2,1,3,2,77,3,3,1,5,2,1,2,10010
10023650,2,3,1,1,3,3,1,1,2,1,3,8,3,1,1,100000
10023660,2,2,1,2,3,1,3,1,2,2,1,8,2,2,3,10010
10023770,1,2,1,2,2,1,2,2,3,3,1,8,2,5,3,10010
10023800,1,2,1,1,3,1,1,1,3,3,1,3,3,1,1,100000
10023810,2,3,1,3,1,1,3,1,2,3,1,3,2,5,3,50000
10023820,1,2,3,2,2,2,1,3,2,2,1,5,2,4,3,10010
10023830,1,2,1,1,1,1,3,2,2,2,1,6,2,1,3,10010
10023900,2,2,1,2,1,1,3,1,2,2,2,8,4,5,3,10010
10023910,3,3,1,1,1,1,1,1,3,1,1,7,2,1,2,100000
10023960,2,1,1,1,1,1,2,77,2,3,1,6,3,3,3,10010
10024050,2,1,1,1,1,1,1,1,2,2,2,2,1,5,3,10010
10024100,4,1,1,1,3,3,1,77,2,3,3,7,4,1,2,100000
10024120,1,2,3,2,1,1,2,77,3,2,1,6,3,1,3,10010
10024240,2,3,1,1,1,1,3,1,2,1,3,2,4,2,1,100000
10024280,3,2,1,3,3,3,1,1,1,3,1,8,4,5,3,10010
10024290,2,2,1,2,1,1,1,1,2,3,1,5,3,2,3,50000
10024300,1,2,1,1,1,1,3,3,2,2,1,4,1,3,2,10010
10024310,2,3,1,1,3,1,1,1,2,2,5,5,3,2,2,10010
10024320,2,1,1,1,1,1,1,2,3,1,1,6,3,1,3,100000
10024360,3,3,1,2,1,1,2,2,2,3,1,8,3,1,3,100000
10024400,2,3,1,3,1,1,1,77,2,1,1,2,2,2,3,10010
10024420,2,1,1,1,1,1,1,1,2,3,1,5,4,5,3,100000
10024440,1,2,2,2,2,2,2,3,2,2,1,5,1,1,3,100000
10024510,2,1,1,1,1,1,1,1,2,3,1,7,3,1,3,100000
10024570,2,1,1,1,1,1,3,2,2,2,2,4,3,1,3,10010
10024640,1,3,1,1,3,3,1,1,3,3,1,5,2,1,3,100000
10024680,4,1,2,2,2,1,2,2,2,2,1,5,3,1,3,10010
10024810,3,1,1,1,1,1,2,1,2,3,1,7,3,1,3,100000
10024840,2,2,1,1,1,1,1,1,2,1,1,8,2,1,3,100000
10024980,1,1,2,2,2,3,2,77,2,2,1,2,3,1,3,10010
10025040,2,1,1,1,1,1,3,1,2,3,3,6,3,5,1,10010
10025100,3,2,1,1,1,1,1,1,2,3,1,4,3,1,3,100000
10025110,2,1,1,1,1,1,1,1,2,3,4,4,3,1,2,100000
10025140,3,1,1,1,1,1,1,1,2,1,1,4,4,2,3,100000
10025190,4,2,1,3,3,1,2,77,2,2,1,1,1,1,3,10010
